시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
어린이집,성심어린이집,경기도 화성시 만세구 향남읍 은행나무로 807-24,경기도 화성시 만세구 향남읍 하길리 1376-1번지,37.11982751,126.9154631,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,세정초등학교,경기도 화성시 동탄구 동탄순환대로12길 74,경기도 화성시 동탄구 산척동 408-5번지,37.16678823,127.1260411,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
유치원,세진유치원,경기도 화성시 만세구 팔탄면 삼천병마로 553-6,경기도 화성시 만세구 팔탄면 가재리 276-5번지,37.15901029,126.9284772,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
유치원,솔빛유치원,경기도 화성시 동탄구 동탄중앙로 122,경기도 화성시 동탄구 반송동 139-3번지,37.19630921,127.0705288,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,솔빛초등학교,경기도 화성시 동탄구 동탄반석로 84,경기도 화성시 동탄구 반송동 133번지,37.1967436,127.0737903,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,송라초등학교,경기도 화성시 만세구 매송면 푸른들판로 1970-16,경기도 화성시 만세구 매송면 송라리 585번지,37.27306194,126.8886245,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,송린초등학교,경기도 화성시 만세구 수노을1로 253,경기도 화성시 만세구 새솔동 24번지,37.27823129,126.8241504,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,송산초등학교,경기도 화성시 만세구 송산면 사강시장길 15-9,경기도 화성시 만세구 송산면 사강리 701번지,37.21463742,126.7319598,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,송화초등학교,경기도 화성시 병점구 병점중앙로35번길 42,경기도 화성시 병점구 병점동 465-5번지,37.20184656,127.0396665,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
초등학교,수기초등학교,경기도 화성시 효행구 봉담읍 수기웃말길 27,경기도 화성시 효행구 봉담읍 수기리 34-4번지,37.20162367,126.9813231,경기도 화성시 효행구 안전건설과,화성서부경찰서,N,,,2026-02-01
어린이집,수노을시립어린이집,경기도 화성시 만세구 수노을중앙로 178,경기도 화성시 만세구 새솔동 98번지,37.2812001,126.8187769,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,수영초등학교,경기도 화성시 효행구 봉담읍 수영로 63,경기도 화성시 효행구 봉담읍 수영리 143-1번지,37.23617759,126.9542831,경기도 화성시 효행구 안전건설과,화성서부경찰서,N,,,2026-02-01
유치원,수현유치원,경기도 화성시 효행구 봉담읍 상리3길 104,경기도 화성시 효행구 봉담읍 수영리 687번지,37.22832373,126.9498687,경기도 화성시 효행구 안전건설과,화성서부경찰서,N,,,2026-02-01
초등학교,수현초등학교,경기도 화성시 효행구 봉담읍 상리3길 110,경기도 화성시 효행구 봉담읍 수영리 614-8번지,37.22709988,126.950565,경기도 화성시 효행구 안전건설과,화성서부경찰서,N,,,2026-02-01
초등학교,숲속초등학교,경기도 화성시 동탄구 동탄공원로2길 10,경기도 화성시 동탄구 반송동 56번지,37.20611415,127.060485,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
어린이집,시립구문천어린이집,경기도 화성시 만세구 향남읍 발안공단로5길 14,경기도 화성시 만세구 향남읍 구문천리 929-18번지,37.08567333,126.9053525,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
어린이집,시립맘e편한어린이집,경기도 화성시 효행구 봉담읍 상리1길 127,경기도 화성시 효행구 봉담읍 상리 668번지 이편한세상신봉담,37.22886148,126.940412,경기도 화성시 효행구 안전건설과,화성서부경찰서,N,,,2026-02-01
어린이집,시립새솔하나어린이집,경기도 화성시 만세구 수노을중앙로 340,경기도 화성시 만세구 새솔동 160번지,37.2735049,126.8324112,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
어린이집,시립숲속어린이집,경기도 화성시 동탄구 동탄숲속로 69-30,경기도 화성시 동탄구 능동 1118번지,37.2096674,127.0571265,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
어린이집,시립영천어린이집,경기도 화성시 동탄구 동탄영천로 92,경기도 화성시 동탄구 영천동 867번지,37.21082773,127.1039675,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
어린이집,시립향남어린이집,경기도 화성시 만세구 향남읍 행정서로3길 54-8,경기도 화성시 만세구 향남읍 행정리 437-4번지,37.13043385,126.9190969,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
유치원,시연유치원,경기도 화성시 효행구 봉담읍 동화길 61,경기도 화성시 효행구 봉담읍 동화리 592번지,37.21816108,126.9562775,경기도 화성시 효행구 안전건설과,화성서부경찰서,N,,,2026-02-01
초등학교,신남초등학교,경기도 화성시 만세구 남양읍 화성시 만세구청역로 2,경기도 화성시 만세구 남양읍 신남리 38-17번지,37.19137919,126.8177612,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,신동초등학교,경기도 화성시 동탄구 동탄신동1길 11,경기도 화성시 동탄구 신동 산187-1번지,37.17490244,127.1310568,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
유치원,썬샤인유치원,경기도 화성시 만세구 노들길 19-45,경기도 화성시 만세구 새솔동 113번지,37.27807721,126.8200678,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
어린이집,아이네오어린이집,경기도 화성시 효행구 봉담읍 오래1길 24,경기도 화성시 효행구 봉담읍 동화리 555-1번지,37.22131787,126.9549851,경기도 화성시 효행구 안전건설과,화성서부경찰서,N,,,2026-02-01
어린이집,아이랜드어린이집,경기도 화성시 만세구 장안면 기아자동차로 786-5,경기도 화성시 만세구 장안면 사곡리 169-1번지,37.07559983,126.8155919,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
유치원,아이숲유치원,경기도 화성시 동탄구 동탄대로12길 57,경기도 화성시 동탄구 오산동 1045번지,37.18197701,127.1090017,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,아인초등학교,경기도 화성시 동탄구 동탄대로시범길 219,경기도 화성시 동탄구 청계동 515번지,37.20081011,127.1052936,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
